,ID,Gender,Car,Realty,Children,Salary,Income_Type,Education,Family_Status,House_Type,AGE,EXPERIENCE,Occupation_Type,Family_Size,Risk,ACCOUNT_DURATION
56,5008868,0,0,1,1,211500.0,2,2,0,0,44.5,19.474999999999998,3,3.0,0,25
57,5008870,0,0,1,1,211500.0,2,2,0,0,44.5,19.474999999999998,3,3.0,0,12
58,5008872,1,1,1,0,360000.0,2,2,0,0,45.8,14.8,17,2.0,0,11
59,5008873,0,0,1,2,126000.0,2,1,0,0,34.0,4.1,10,4.0,0,22
60,5008874,0,0,1,2,126000.0,2,1,0,0,34.0,4.1,10,4.0,0,46
61,5008875,0,0,1,2,126000.0,2,1,0,0,34.0,4.1,10,4.0,0,40
62,5008876,0,0,1,2,126000.0,2,1,0,0,34.0,4.1,10,4.0,0,44
63,5008877,0,0,1,2,126000.0,2,1,0,0,34.0,4.1,10,4.0,0,8
64,5008878,0,0,1,2,126000.0,2,1,0,0,34.0,4.1,10,4.0,0,12
66,5008880,0,0,1,2,126000.0,2,1,0,0,34.0,4.1,10,4.0,0,11
67,5008881,0,0,1,2,126000.0,2,1,0,0,34.0,4.1,10,4.0,0,20
69,5008884,0,0,1,0,315000.0,0,2,1,0,55.3,0.0,12,1.0,0,41
70,5008888,0,0,1,0,247500.0,2,1,1,2,46.7,3.8,3,1.0,0,6
71,5008889,0,0,1,0,247500.0,2,1,1,2,46.7,3.8,3,1.0,0,5
74,5008891,0,0,1,0,297000.0,2,2,1,2,42.6,8.1,8,1.0,0,8
75,5008892,0,0,1,0,297000.0,2,2,1,2,42.6,8.1,8,1.0,0,16
76,5008893,0,0,1,0,297000.0,2,2,1,2,42.6,8.1,8,1.0,0,37
78,5008895,0,0,1,0,297000.0,2,2,1,2,42.6,8.1,8,1.0,0,35
81,5008898,0,0,1,0,297000.0,2,2,1,2,42.6,8.1,8,1.0,0,21
97,5008914,0,0,1,0,297000.0,2,2,1,2,42.6,8.1,8,1.0,0,19
99,5008916,0,0,1,0,297000.0,2,2,1,2,42.6,8.1,8,1.0,0,18
101,5008918,0,0,1,0,297000.0,2,2,1,2,42.6,8.1,8,1.0,0,17
104,5008921,0,0,1,0,297000.0,2,2,1,2,42.6,8.1,8,1.0,0,14
106,5008923,0,0,1,0,297000.0,2,2,1,2,42.6,8.1,8,1.0,0,13
109,5008926,0,0,1,0,297000.0,2,2,1,2,42.6,8.1,8,1.0,0,12
110,5008927,0,0,1,0,297000.0,2,2,1,2,42.6,8.1,8,1.0,0,10
113,5008930,0,0,1,0,297000.0,2,2,1,2,42.6,8.1,8,1.0,0,7
114,5008931,0,0,1,0,297000.0,2,2,1,2,42.6,8.1,8,1.0,0,6
117,5008934,0,0,1,0,297000.0,2,2,1,2,42.6,8.1,8,1.0,0,5
119,5008936,0,0,1,0,297000.0,2,2,1,2,42.6,8.1,8,1.0,0,4
120,5008937,0,0,1,0,297000.0,2,2,1,2,42.6,8.1,8,1.0,0,2
122,5008939,0,0,1,0,297000.0,2,2,1,2,42.6,8.1,8,1.0,0,1
125,5008942,0,0,0,0,157500.0,2,1,0,0,37.4,13.3,6,2.0,0,16
126,5008943,0,0,0,0,157500.0,2,1,0,0,37.4,13.3,6,2.0,0,15
130,5008947,1,0,1,0,135000.0,2,2,0,0,42.5,3.1,4,2.0,0,13
132,5008949,1,0,1,0,135000.0,2,2,0,0,42.5,3.1,4,2.0,0,1
134,5008951,1,0,1,1,225000.0,2,2,0,0,28.3,7.8,12,3.0,0,46
136,5008953,1,0,1,1,225000.0,2,2,0,0,28.3,7.8,12,3.0,0,28
137,5008954,1,0,1,1,225000.0,2,2,0,0,28.3,7.8,12,3.0,0,6
138,5008955,0,1,1,0,135000.0,2,2,0,0,48.8,4.8,8,2.0,0,5
139,5008956,0,1,1,0,135000.0,2,2,0,0,48.8,4.8,8,2.0,0,40
141,5008958,0,1,1,0,135000.0,2,2,0,0,48.8,4.8,8,2.0,0,4
142,5008959,0,1,1,0,135000.0,2,2,0,0,48.8,4.8,8,2.0,0,16
143,5008960,0,1,1,0,135000.0,2,2,0,0,48.8,4.8,8,2.0,0,29
144,5008962,0,1,1,0,135000.0,2,2,0,0,48.8,4.8,8,2.0,0,27
145,5008963,0,1,1,0,135000.0,2,2,0,0,48.8,4.8,8,2.0,0,39
146,5008966,1,0,1,0,157500.0,2,2,0,0,43.11,2.5,12,2.0,0,16
147,5008967,1,0,1,0,157500.0,2,2,0,0,43.11,2.5,12,2.0,0,22
148,5008971,1,0,1,0,157500.0,2,2,0,0,43.11,2.5,12,2.0,0,5
150,5008974,0,0,1,0,112500.0,0,2,0,0,61.1,0.0,12,2.0,0,3
151,5008975,0,0,1,0,112500.0,0,2,0,0,61.1,0.0,12,2.0,0,22
152,5008976,0,0,1,0,112500.0,0,2,0,0,61.1,0.0,12,2.0,0,2
153,5008977,0,0,1,0,112500.0,0,2,0,0,61.1,0.0,12,2.0,0,24
155,5008979,0,0,1,0,112500.0,0,2,0,0,61.1,0.0,12,2.0,0,38
156,5008980,0,0,1,0,112500.0,0,2,0,0,61.1,0.0,12,2.0,0,51
157,5008981,1,1,1,0,112500.0,2,2,0,0,57.2,6.6,4,2.0,0,11
158,5008983,1,1,1,0,112500.0,2,2,0,0,57.2,6.6,4,2.0,0,12
159,5008984,1,1,1,0,112500.0,2,2,0,0,57.2,6.6,4,2.0,0,59
162,5008988,1,1,1,0,112500.0,2,2,0,0,57.2,6.6,4,2.0,0,17
163,5008991,0,1,1,0,270000.0,2,2,1,0,45.5,3.3,1,1.0,0,29
164,5008992,0,1,1,0,270000.0,2,2,1,0,45.5,3.3,1,1.0,0,7
165,5008993,0,1,1,0,270000.0,2,2,1,0,45.5,3.3,1,1.0,0,18
166,5008994,0,1,1,0,270000.0,2,2,1,0,45.5,3.3,1,1.0,0,20
167,5008995,0,1,1,0,270000.0,2,2,1,0,45.5,3.3,1,1.0,0,19
169,5008998,0,1,1,0,270000.0,2,1,0,0,29.1,2.3,10,2.0,0,4
171,5009000,1,1,1,0,157500.0,2,2,0,0,27.2,2.3,4,2.0,0,23
172,5009001,1,0,1,0,166500.0,2,2,0,0,51.1,17.2,8,2.0,0,7
175,5009006,1,0,1,0,166500.0,2,2,0,0,51.1,17.2,8,2.0,0,11
180,5009012,1,0,1,0,166500.0,2,2,0,0,51.1,17.2,8,2.0,0,6
182,5009016,0,0,1,2,216000.0,2,1,0,0,42.3,8.6,12,4.0,0,25
183,5009018,0,0,1,2,216000.0,2,1,0,0,42.3,8.6,12,4.0,0,13
184,5009019,0,0,1,2,216000.0,2,1,0,0,42.3,8.6,12,4.0,0,33
186,5009022,0,0,1,2,216000.0,2,1,0,0,42.3,8.6,12,4.0,0,40
187,5009023,0,0,1,2,216000.0,2,1,0,0,42.3,8.6,12,4.0,0,36
188,5009024,0,0,1,2,216000.0,2,1,0,0,42.3,8.6,12,4.0,0,9
189,5009025,0,0,1,2,216000.0,2,1,0,0,42.3,8.6,12,4.0,0,34
190,5009027,0,1,1,0,270000.0,2,2,0,0,54.5,19.474999999999998,8,2.0,0,22
191,5112862,0,1,1,0,270000.0,2,2,0,0,54.5,19.474999999999998,8,2.0,0,29
192,5009028,0,1,1,0,225000.0,2,2,0,0,39.7,7.7,8,2.0,0,11
193,5009029,0,1,1,0,225000.0,2,2,0,0,39.7,7.7,8,2.0,0,16
194,5009031,0,0,1,0,315000.0,2,2,1,0,28.11,3.3,0,1.0,0,14
196,5009033,0,0,0,0,255150.0,0,1,0,2,51.2,0.0,12,2.0,0,17
197,5009034,0,0,0,0,255150.0,0,1,0,2,51.2,0.0,12,2.0,0,18
198,5009035,0,0,0,0,255150.0,0,1,0,2,51.2,0.0,12,2.0,0,6
199,5009036,0,0,0,0,255150.0,0,1,0,2,51.2,0.0,12,2.0,0,19
200,5009037,0,0,0,0,255150.0,0,1,0,2,51.2,0.0,12,2.0,0,20
201,5009038,0,0,0,0,255150.0,0,1,0,2,51.2,0.0,12,2.0,0,13
202,5009039,0,0,1,2,157500.0,2,2,1,0,39.3,1.6,3,3.0,0,9
203,5009040,0,0,1,2,157500.0,2,2,1,0,39.3,1.6,3,3.0,0,4
204,5009042,0,0,1,0,148500.0,2,1,0,0,48.4,2.5,3,2.0,0,21
205,5009043,0,0,1,0,148500.0,2,1,0,0,48.4,2.5,3,2.0,0,19
206,5009044,0,0,1,0,148500.0,2,1,0,0,48.4,2.5,3,2.0,0,15
208,5009046,0,0,1,0,148500.0,2,1,0,0,48.4,2.5,3,2.0,0,8
209,5009047,0,0,1,0,148500.0,2,1,0,0,48.4,2.5,3,2.0,0,12
210,5009050,0,0,1,2,202500.0,2,1,0,0,30.1,6.3,3,4.0,0,14
211,5009051,0,0,1,2,202500.0,2,1,0,0,30.1,6.3,3,4.0,0,43
212,5009052,0,0,1,2,202500.0,2,1,0,0,30.1,6.3,3,4.0,0,48
215,5009056,1,0,1,0,202500.0,2,2,1,0,24.3,2.5,4,1.0,0,10
217,5009058,0,1,1,0,112500.0,2,2,1,0,20.6,2.2,13,1.0,0,1
218,5009060,0,0,1,0,94500.0,0,1,0,0,61.2,0.0,12,2.0,0,4
219,5009062,1,1,1,0,315000.0,2,2,0,0,28.7,5.8,15,2.0,0,38
220,5009063,1,1,1,0,315000.0,2,2,0,0,28.7,5.8,15,2.0,0,28
221,5009064,1,1,1,0,315000.0,2,2,0,0,28.7,5.8,15,2.0,0,5
222,5009065,1,1,1,0,315000.0,2,2,0,0,28.7,5.8,15,2.0,0,11
223,5009066,1,1,1,0,315000.0,2,2,0,0,28.7,5.8,15,2.0,0,16
225,5009068,1,1,1,0,315000.0,2,2,0,0,28.7,5.8,15,2.0,0,23
226,5009069,1,1,1,0,315000.0,2,2,0,0,28.7,5.8,15,2.0,0,36
228,5009071,0,1,1,0,270000.0,2,1,0,1,28.1,8.8,6,2.0,0,21
229,5009072,0,1,1,0,270000.0,2,1,0,1,28.1,8.8,6,2.0,0,24
230,5009074,0,1,1,1,380250.0,2,1,0,0,48.6,1.11,3,3.0,0,23
231,5009075,0,1,1,1,380250.0,2,1,0,0,48.6,1.11,3,3.0,0,24
232,5009078,1,0,1,1,180000.0,2,2,0,3,38.8,3.6,4,3.0,0,31
233,5009079,0,0,1,0,112500.0,2,1,0,0,27.6,8.8,8,2.0,0,44
234,5009080,0,0,1,0,112500.0,2,1,0,0,27.6,8.8,8,2.0,0,16
235,5009081,0,0,1,0,112500.0,2,1,0,0,27.6,8.8,8,2.0,0,17
236,5009083,1,0,1,0,90000.0,2,2,0,0,56.3,15.8,4,2.0,0,48
237,5009084,1,0,1,0,90000.0,2,2,0,0,56.3,15.8,4,2.0,0,3
238,5009088,1,1,0,2,202500.0,2,1,0,0,40.4,8.2,8,4.0,0,41
239,5009089,1,1,0,2,202500.0,2,1,0,0,40.4,8.2,8,4.0,0,40
240,5009090,1,1,1,0,247500.0,2,2,0,0,34.7,11.0,4,2.0,0,14
241,5009092,1,1,1,1,380250.0,2,1,0,0,33.5,3.3,10,3.0,0,4
244,5009096,0,0,1,1,270000.0,2,2,0,0,37.5,12.0,0,3.0,0,25
245,5009097,0,0,1,1,270000.0,2,2,0,0,37.5,12.0,0,3.0,0,15
246,5009098,0,0,1,1,270000.0,2,2,0,0,37.5,12.0,0,3.0,0,18
247,5009099,0,0,1,0,315000.0,2,1,1,0,36.4,1.6,10,1.0,0,29
248,5009100,0,0,1,0,315000.0,2,1,1,0,36.4,1.6,10,1.0,0,28
249,5009103,1,1,1,2,157500.0,2,2,0,3,35.2,11.1,4,4.0,0,39
250,5009104,1,1,1,2,157500.0,2,2,0,3,35.2,11.1,4,4.0,0,28
251,5009105,1,1,1,2,157500.0,2,2,0,3,35.2,11.1,4,4.0,0,31
252,5009106,1,1,1,2,157500.0,2,2,0,3,35.2,11.1,4,4.0,0,61
253,5112876,1,1,1,2,157500.0,2,2,0,3,35.2,11.1,4,4.0,0,26
254,5009108,1,0,1,0,360000.0,2,2,0,0,41.11,7.6,17,2.0,0,8
255,5009109,1,0,1,0,360000.0,2,2,0,0,41.11,7.6,17,2.0,0,21
256,5009110,0,0,1,0,112500.0,2,1,0,0,24.2,0.1,6,2.0,0,4
257,5009116,0,0,0,0,157500.0,2,1,1,3,43.1,1.2,12,1.0,0,13
258,5009117,0,0,0,0,157500.0,2,1,1,3,43.1,1.2,12,1.0,0,50
262,5009123,0,0,0,0,157500.0,2,1,1,3,43.1,1.2,12,1.0,0,44
264,5009125,0,0,0,0,157500.0,2,1,1,3,43.1,1.2,12,1.0,0,47
266,5009127,0,0,0,0,157500.0,2,1,1,3,43.1,1.2,12,1.0,0,23
268,5009129,0,0,0,0,157500.0,2,1,1,3,43.1,1.2,12,1.0,0,12
271,5009133,1,0,1,0,380250.0,0,2,1,0,59.4,0.0,12,1.0,0,17
273,5009135,1,0,1,0,380250.0,0,2,1,0,59.4,0.0,12,1.0,0,10
274,5009136,1,0,1,0,380250.0,0,2,1,0,59.4,0.0,12,1.0,0,16
277,5009139,1,0,1,0,380250.0,0,2,1,0,59.4,0.0,12,1.0,0,9
279,5009141,0,0,0,0,135000.0,2,2,0,0,26.5,4.3,10,2.0,0,34
280,5009142,0,0,0,0,135000.0,2,2,0,0,26.5,4.3,10,2.0,0,12
281,5009143,1,1,0,0,225000.0,0,2,0,0,50.1,0.0,12,2.0,0,12
282,5009144,1,1,0,0,225000.0,0,2,0,0,50.1,0.0,12,2.0,0,11
283,5009145,1,1,0,0,315000.0,2,1,0,0,43.4,10.2,10,2.0,0,36
284,5009146,1,1,0,0,315000.0,2,1,0,0,43.4,10.2,10,2.0,0,26
285,5009147,1,1,0,0,315000.0,2,1,0,0,43.4,10.2,10,2.0,0,13
286,5009149,1,1,0,0,315000.0,2,1,0,0,43.4,10.2,10,2.0,0,8
287,5009150,1,1,0,0,315000.0,2,1,0,0,43.4,10.2,10,2.0,0,18
288,5009151,0,0,0,0,180000.0,2,2,0,0,53.7,7.11,15,2.0,0,30
289,5009152,0,0,0,0,180000.0,2,2,0,0,53.7,7.11,15,2.0,0,48
291,5009154,0,0,0,0,180000.0,2,2,0,0,53.7,7.11,15,2.0,0,29
292,5009155,0,0,0,0,180000.0,2,2,0,0,53.7,7.11,15,2.0,0,28
293,5009156,0,0,0,0,180000.0,2,2,0,0,53.7,7.11,15,2.0,0,18
295,5009158,0,0,0,0,180000.0,2,2,0,0,53.7,7.11,15,2.0,0,44
296,5009159,0,0,0,0,180000.0,2,2,0,0,53.7,7.11,15,2.0,0,15
297,5009160,0,0,0,0,180000.0,2,2,0,0,53.7,7.11,15,2.0,0,22
298,5009161,0,0,0,0,180000.0,2,2,0,0,53.7,7.11,15,2.0,0,24
300,5009163,0,0,0,0,157500.0,2,2,0,0,35.4,8.8,15,2.0,0,13
301,5009164,0,0,0,0,157500.0,2,2,0,0,35.4,8.8,15,2.0,0,17
305,5009170,0,1,0,0,144000.0,0,2,0,0,62.8,0.0,12,2.0,0,14
306,5009177,1,1,0,0,229500.0,2,1,0,0,50.2,3.5,8,2.0,0,50
307,5009178,1,1,0,0,229500.0,2,1,0,0,50.2,3.5,8,2.0,0,35
308,5009179,1,1,0,0,229500.0,2,1,0,0,50.2,3.5,8,2.0,0,13
309,5009180,1,1,0,0,229500.0,2,1,0,0,50.2,3.5,8,2.0,0,39
312,5009183,1,1,0,0,229500.0,2,1,0,0,50.2,3.5,8,2.0,0,32
313,5009186,0,0,0,0,270000.0,2,1,0,0,48.1,15.1,10,2.0,0,4
314,5009187,0,0,0,0,270000.0,2,1,0,0,48.1,15.1,10,2.0,0,6
315,5009188,0,0,0,0,270000.0,2,1,0,0,48.1,15.1,10,2.0,0,17
317,5009190,0,0,0,0,270000.0,2,1,0,0,48.1,15.1,10,2.0,0,23
319,5009192,0,0,0,0,270000.0,2,1,0,0,48.1,15.1,10,2.0,0,34
320,5009193,0,0,0,0,270000.0,2,1,0,0,48.1,15.1,10,2.0,0,30
321,5009195,0,0,0,0,292500.0,2,2,0,0,57.4,19.474999999999998,0,2.0,0,7
322,5009196,0,0,0,0,292500.0,2,2,0,0,57.4,19.474999999999998,0,2.0,0,8
323,5009198,0,0,0,0,292500.0,2,2,0,0,57.4,19.474999999999998,0,2.0,0,46
324,5009201,0,0,0,0,292500.0,2,2,0,0,57.4,19.474999999999998,0,2.0,0,2
326,5009203,0,0,0,0,292500.0,2,2,0,0,57.4,19.474999999999998,0,2.0,0,21
327,5009204,0,0,0,0,292500.0,2,2,0,0,57.4,19.474999999999998,0,2.0,0,3
328,5009205,0,0,0,0,292500.0,2,2,0,0,57.4,19.474999999999998,0,2.0,0,6
329,5009206,0,0,0,0,292500.0,2,2,0,0,57.4,19.474999999999998,0,2.0,0,22
331,5009208,0,0,0,0,292500.0,2,2,0,0,57.4,19.474999999999998,0,2.0,0,42
333,5009210,0,0,0,0,292500.0,2,2,0,0,57.4,19.474999999999998,0,2.0,0,4
334,5009213,0,0,0,0,270000.0,2,1,0,0,33.9,2.4,0,2.0,0,23
335,5009215,0,0,0,0,270000.0,2,1,0,0,33.9,2.4,0,2.0,0,58
336,5009216,0,0,0,0,270000.0,2,1,0,0,33.9,2.4,0,2.0,0,7
338,5009220,0,1,0,0,225000.0,2,2,0,0,40.2,2.2,10,2.0,0,28
339,5009222,0,1,0,0,225000.0,2,2,0,0,40.2,2.2,10,2.0,0,48
340,5009223,0,1,0,0,225000.0,2,2,0,0,40.2,2.2,10,2.0,0,41
341,5009224,0,1,0,0,225000.0,2,2,0,0,40.2,2.2,10,2.0,0,51
344,5009227,0,1,0,0,225000.0,2,2,0,0,40.2,2.2,10,2.0,0,21
345,5009232,0,1,0,0,225000.0,2,2,0,0,40.2,2.2,10,2.0,0,36
347,5009234,0,1,0,0,225000.0,2,2,0,0,40.2,2.2,10,2.0,0,14
348,5009236,0,1,0,0,225000.0,2,2,0,0,40.2,2.2,10,2.0,0,31
349,5009238,1,1,0,0,157500.0,2,1,0,3,29.0,2.8,4,2.0,0,21
350,5009239,1,1,0,0,157500.0,2,1,0,3,29.0,2.8,4,2.0,0,15
351,5009240,1,1,0,0,157500.0,2,1,0,3,29.0,2.8,4,2.0,0,34
352,5009241,1,1,0,0,157500.0,2,1,0,3,29.0,2.8,4,2.0,0,11
353,5009242,0,0,0,0,74250.0,2,1,1,1,52.3,14.4,3,1.0,0,35
354,5009243,0,0,0,0,74250.0,2,1,1,1,52.3,14.4,3,1.0,0,8
355,5009244,0,0,0,0,74250.0,2,1,1,1,52.3,14.4,3,1.0,0,9
356,5009246,0,0,0,0,135000.0,2,2,0,0,38.11,5.1,12,2.0,0,32
357,5009247,0,0,0,0,135000.0,2,2,0,0,38.11,5.1,12,2.0,0,19
358,5009248,0,0,0,0,135000.0,2,2,0,0,38.11,5.1,12,2.0,0,18
359,5009249,1,1,0,1,135000.0,2,2,0,0,27.3,2.6,4,3.0,0,27
360,5009250,1,1,0,1,135000.0,2,2,0,0,27.3,2.6,4,3.0,0,10
362,5009252,1,1,0,1,135000.0,2,2,0,0,27.3,2.6,4,3.0,0,13
363,5009253,1,1,0,1,135000.0,2,2,0,0,27.3,2.6,4,3.0,0,23
364,5009255,0,0,0,0,144000.0,2,2,1,0,43.9,19.474999999999998,1,1.0,0,7
365,5009257,0,0,0,0,144000.0,2,2,1,0,43.9,19.474999999999998,1,1.0,0,8
367,5009260,0,0,0,0,202500.0,2,1,0,3,39.1,3.6,3,2.0,0,20
368,5009261,0,0,0,0,202500.0,2,1,0,3,39.1,3.6,3,2.0,0,22
369,5009262,0,0,0,0,202500.0,2,1,0,3,39.1,3.6,3,2.0,0,9
370,5009263,0,0,0,0,202500.0,2,1,0,3,39.1,3.6,3,2.0,0,17
371,5009264,0,0,0,0,40500.0,0,2,1,0,57.9,0.0,12,1.0,0,12
372,5009265,1,1,0,0,337500.0,2,1,0,3,28.1,4.6,10,2.0,0,36
373,5009266,1,1,0,0,337500.0,2,1,0,3,28.1,4.6,10,2.0,0,16
374,5009267,1,1,0,0,337500.0,2,1,0,3,28.1,4.6,10,2.0,0,18
375,5009268,1,1,0,0,337500.0,2,1,0,3,28.1,4.6,10,2.0,0,27
376,5009269,1,1,0,0,337500.0,2,1,0,3,28.1,4.6,10,2.0,0,35
377,5009270,1,0,0,0,180000.0,2,2,0,1,40.6,6.8,8,2.0,0,29
378,5009271,1,0,0,0,180000.0,2,2,0,1,40.6,6.8,8,2.0,0,30
379,5009272,1,0,0,0,180000.0,2,2,0,1,40.6,6.8,8,2.0,0,26
380,5009274,1,0,0,0,180000.0,2,2,0,1,40.6,6.8,8,2.0,0,41
382,5009276,1,0,0,0,180000.0,2,2,0,1,40.6,6.8,8,2.0,0,16
383,5009277,1,0,0,0,180000.0,2,2,0,1,40.6,6.8,8,2.0,0,27
384,5009278,0,0,0,0,130500.0,2,2,0,0,41.5,13.2,1,2.0,0,21
385,5009279,0,0,0,0,130500.0,2,2,0,0,41.5,13.2,1,2.0,0,41
387,5009281,0,0,0,0,130500.0,2,2,0,0,41.5,13.2,1,2.0,0,40
388,5009284,0,0,0,0,130500.0,2,2,0,0,41.5,13.2,1,2.0,0,59
389,5009285,0,0,0,0,130500.0,2,2,0,0,41.5,13.2,1,2.0,0,17
390,5009286,0,0,0,0,130500.0,2,2,0,0,41.5,13.2,1,2.0,0,31
391,5009287,0,0,0,0,130500.0,2,2,0,0,41.5,13.2,1,2.0,0,25
392,5009289,0,0,0,0,130500.0,2,2,0,0,41.5,13.2,1,2.0,0,9
394,5009291,0,0,0,0,130500.0,2,2,0,0,41.5,13.2,1,2.0,0,10
395,5009292,0,0,0,0,130500.0,2,2,0,0,41.5,13.2,1,2.0,0,35
398,5009295,0,0,0,0,144000.0,0,2,0,0,57.7,0.0,12,2.0,0,34
399,5009296,0,0,0,0,144000.0,0,2,0,0,57.7,0.0,12,2.0,0,2
400,5009297,0,0,0,0,193500.0,2,2,1,1,44.1,5.1,8,1.0,0,23
401,5009299,0,0,0,0,193500.0,2,2,1,1,44.1,5.1,8,1.0,0,34
402,5009300,0,0,0,0,193500.0,2,2,1,1,44.1,5.1,8,1.0,0,13
403,5009301,0,0,0,0,193500.0,2,2,1,1,44.1,5.1,8,1.0,0,9
404,5009302,0,0,0,0,112500.0,0,2,1,0,60.5,0.0,12,1.0,0,26
405,5009303,0,0,0,0,112500.0,0,2,1,0,60.5,0.0,12,1.0,0,36
406,5009304,0,0,0,0,112500.0,0,2,1,0,60.5,0.0,12,1.0,0,35
407,5009305,0,0,0,0,112500.0,0,2,1,0,60.5,0.0,12,1.0,0,13
408,5009306,0,1,0,0,135000.0,0,2,0,0,55.2,0.0,12,2.0,0,28
410,5009308,0,1,0,0,135000.0,0,2,0,0,55.2,0.0,12,2.0,0,40
411,5009309,0,1,0,0,135000.0,0,2,0,0,55.2,0.0,12,2.0,0,32
412,5009310,0,1,0,0,135000.0,0,2,0,0,55.2,0.0,12,2.0,0,37
414,5009312,0,1,0,0,135000.0,0,2,0,0,55.2,0.0,12,2.0,0,25
415,5009313,0,1,0,0,135000.0,0,2,0,0,55.2,0.0,12,2.0,0,19
416,5009314,0,1,0,0,135000.0,0,2,0,0,55.2,0.0,12,2.0,0,11
417,5009315,0,1,0,0,135000.0,0,2,0,0,55.2,0.0,12,2.0,0,16
418,5009316,0,1,0,0,135000.0,0,2,0,0,55.2,0.0,12,2.0,0,21
421,5009319,0,1,0,0,135000.0,0,2,0,0,55.2,0.0,12,2.0,0,38
422,5009325,1,1,0,0,267750.0,2,1,0,0,57.6,12.11,8,2.0,0,17
423,5009327,1,1,0,0,267750.0,2,1,0,0,57.6,12.11,8,2.0,0,18
424,5009328,1,1,0,0,267750.0,2,1,0,0,57.6,12.11,8,2.0,0,11
426,5009330,1,1,0,0,267750.0,2,1,0,0,57.6,12.11,8,2.0,0,15
430,5009335,0,0,0,0,139500.0,2,1,1,0,44.4,19.474999999999998,10,1.0,0,10
431,5009336,0,0,0,0,139500.0,2,1,1,0,44.4,19.474999999999998,10,1.0,0,17
433,5009338,1,0,0,0,67500.0,2,2,0,0,51.1,14.6,17,2.0,0,13
